# mfp(m) k_l(Wm-1K-1)
4.203978031934368033e-17 1.286120100700316110e-19
4.215074496748433659e-17 1.297846752314139249e-19
4.236323741419759213e-17 1.298874170160572406e-19
4.246592633157222024e-17 1.307700214886953945e-19
4.287241697251139544e-17 1.318915983575994778e-19
4.288226223865518233e-17 1.321964072567466122e-19
4.310284295657403044e-17 1.332642107038427623e-19
4.347276007381556666e-17 1.333845482819280396e-19
4.387134485073420751e-17 1.344485657489444034e-19
4.393114789216581429e-17 1.347187029082473573e-19
4.398557558123285926e-17 1.348547861450449227e-19
4.413696580824001170e-17 1.351514313809898175e-19
4.421412407729912134e-17 1.357016372086210349e-19
4.423038671561020196e-17 1.385874732095387477e-19
4.458633493083354600e-17 1.388615787475864340e-19
4.468818592025742830e-17 1.402237834906139474e-19
4.479010748681597300e-17 1.433102939341573554e-19
4.490131536055154880e-17 1.434506239347461955e-19
4.518994340765138158e-17 1.440170060907912656e-19
4.523982586876199196e-17 1.448120908180890151e-19
4.525350271607603998e-17 1.453014557229146088e-19
4.528047244078703489e-17 1.466446183900460804e-19
4.549626342424061096e-17 1.478808726147631790e-19
4.555417239947174107e-17 1.479137229583115506e-19
4.564645319257170247e-17 1.499784740402538717e-19
4.574354883003269422e-17 1.521606555137758367e-19
4.581617281781633390e-17 1.524416723668797178e-19
4.591486654774152376e-17 1.539662866111679282e-19
4.607986220181360528e-17 1.548656464339770755e-19
4.622581157175567153e-17 1.564185718462997645e-19
4.633085743240388845e-17 1.578973498927873723e-19
4.660805973589142001e-17 1.582538715075015858e-19
4.673240915182402779e-17 1.588853667963206219e-19
4.708871885943035427e-17 1.595101580866449153e-19
4.718654318525562026e-17 1.612374016873520183e-19
4.723213514722733851e-17 1.615206504286281976e-19
4.727525619874918462e-17 1.619732072859098898e-19
4.728034929654006676e-17 1.620296831897944083e-19
4.731924080324157357e-17 1.631248545721386258e-19
4.738402217829617703e-17 1.635863458309775973e-19
4.741078920862002379e-17 1.653969215115537278e-19
4.741121828667204963e-17 1.670569031366741392e-19
4.746999408385006319e-17 1.673306968446284702e-19
4.756932048832893698e-17 1.683551213361703422e-19
4.762844113297088257e-17 1.719214563977865603e-19
4.772979513931806918e-17 1.723331702458633692e-19
4.776372481146981145e-17 1.748080697524463584e-19
4.778116812700452867e-17 1.753516850529438564e-19
4.780871856576220443e-17 1.801840890319705014e-19
4.787290452784159361e-17 1.822430388094769085e-19
4.799652158465435841e-17 1.827392975029485929e-19
4.800196605534052967e-17 1.840241710034429746e-19
4.801885563654995731e-17 1.845676208454573279e-19
4.813146996210537084e-17 1.850804453274036233e-19
4.836778282428915266e-17 1.856267467653480199e-19
4.846786396872933478e-17 1.861140516585037698e-19
4.854466415179356997e-17 1.862957725335711389e-19
4.862139528916520174e-17 1.875701556820001880e-19
4.890192886418388857e-17 1.888071628907404985e-19
4.900178932163540200e-17 1.888880602136101319e-19
4.907591763705093368e-17 1.894072832726184291e-19
4.939101053044770172e-17 1.940598535651673546e-19
4.954570284648514086e-17 1.947611820688270899e-19
4.963776399994625739e-17 1.948006706376923498e-19
4.977035248017892439e-17 1.962438696931420435e-19
4.985827605555258498e-17 1.999781764684893227e-19
4.986552549925008222e-17 2.014139550542636996e-19
4.998429873960092442e-17 2.023244570800259395e-19
5.007436625756962786e-17 2.030378726903726873e-19
5.008543403840359662e-17 2.066798343614117738e-19
5.012239374908767803e-17 2.116840142843779100e-19
5.062455909814292577e-17 2.117637930820648097e-19
5.083202653996644423e-17 2.135139650509546632e-19
5.114552988441319153e-17 2.146464602145484442e-19
5.124041272774881000e-17 2.151460109502356614e-19
5.159842148540479975e-17 2.189189689746869606e-19
5.186025322444072164e-17 2.220337222095484012e-19
5.196705775007282947e-17 2.255565595470008892e-19
5.207177972969385364e-17 2.271080954879562215e-19
5.217689727599411647e-17 2.309377735940238874e-19
5.245178988261278138e-17 2.310053381281111668e-19
5.259753731698557052e-17 2.332469613502966207e-19
5.265884737329471418e-17 2.342264306613180809e-19
5.271888089094233640e-17 2.346034950028515529e-19
5.286820382881708955e-17 2.352690161845013254e-19
5.294946902774431027e-17 2.354299784878645209e-19
5.341661538776372756e-17 2.416657912816484823e-19
